,CellType,annotLevel,p,fold_change,sd_from_mean,q
Exc_L5_RORB_LINC01202,Exc_L5_RORB_LINC01202,2,3e-04,1.70028355552768,4.9653337266545,0.0018
Inh_L2_4_PVALB_C8orf4,Inh_L2_4_PVALB_C8orf4,2,7e-04,1.55832072905823,4.4147196239425,0.004
Exc_L4_6_RORB_HPCA,Exc_L4_6_RORB_HPCA,2,8e-04,2.33225792022865,6.57731815657395,0.00417391304347826
Inh_L1_3_VIP_ZNF322P1,Inh_L1_3_VIP_ZNF322P1,2,8e-04,1.83581481925998,5.37553863149849,0.00417391304347826
Exc_L3_4_RORB_SEMA6D,Exc_L3_4_RORB_SEMA6D,2,0.0012,1.54866649872713,4.17941958610355,0.006
Inh_L2_5_VIP_TOX2,Inh_L2_5_VIP_TOX2,2,0.0013,1.75988816495521,4.65600581485063,0.00624
Inh_L5_PVALB_CNTNAP3P2,Inh_L5_PVALB_CNTNAP3P2,2,0.0015,1.60306793526016,4.48001484325009,0.00692307692307692
Exc_L5_RORB_SNHG7,Exc_L5_RORB_SNHG7,2,0.0016,1.48007550995442,3.58647921224936,0.00711111111111111
Inh_L1_6_LAMP5_CA13,Inh_L1_6_LAMP5_CA13,2,0.0023,1.69130712309991,4.44665535343471,0.00985714285714286
Exc_L2_3_LINC00507_RPL9P17,Exc_L2_3_LINC00507_RPL9P17,2,0.005,1.57741398181626,3.98247464561901,0.0206896551724138
Exc_L4_5_RORB_AIM2,Exc_L4_5_RORB_AIM2,2,0.0054,2.3097931817945,4.51850209294658,0.0216
Inh_L2_6_VIP_VIP,Inh_L2_6_VIP_VIP,2,0.0068,1.87178983875057,4.39659715577825,0.0263225806451613
Inh_L6_LAMP5_ANKRD20A11P,Inh_L6_LAMP5_ANKRD20A11P,2,0.0074,2.54110167610932,4.50330792089888,0.02775
Exc_L5_6_FEZF2_ANKRD20A1,Exc_L5_6_FEZF2_ANKRD20A1,2,0.0083,1.51881488726586,3.33056258817559,0.0298285714285714
Exc_L5_6_THEMIS_THTPA,Exc_L5_6_THEMIS_THTPA,2,0.0086,2.35043892291357,4.08806427467194,0.0298285714285714
Inh_L1_LAMP5_NDNF,Inh_L1_LAMP5_NDNF,2,0.0087,1.86880780684846,5.34032001502862,0.0298285714285714
Inh_L2_4_SST_AHR,Inh_L2_4_SST_AHR,2,0.0096,1.91753480428881,4.01102398277675,0.0311351351351351
Exc_L3_4_RORB_PRSS12,Exc_L3_4_RORB_PRSS12,2,0.0096,1.47522307737045,3.31746071007516,0.0311351351351351
Inh_L5_6_PVALB_FAM150B,Inh_L5_6_PVALB_FAM150B,2,0.0109,1.54391142520466,3.14577384457888,0.0344210526315789
Inh_L1_3_PVALB_WFDC2,Inh_L1_3_PVALB_WFDC2,2,0.0117,1.68030557354763,3.58374113131915,0.0351428571428571
Inh_L5_6_LAMP5_SFTA3,Inh_L5_6_LAMP5_SFTA3,2,0.0118,1.65262658491435,3.88557169528998,0.0351428571428571
Exc_L6_FEZF2_FAM95C,Exc_L6_FEZF2_FAM95C,2,0.0122,1.40013029706339,2.44150020786646,0.0351428571428571
Exc_L4_5_RORB_ASCL1,Exc_L4_5_RORB_ASCL1,2,0.0123,1.90017119722762,3.41884531835366,0.0351428571428571
Inh_L5_6_PVALB_STON2,Inh_L5_6_PVALB_STON2,2,0.0131,1.40521788434363,2.74100000231677,0.0365454545454545
Inh_L3_4_PVALB_HOMER3,Inh_L3_4_PVALB_HOMER3,2,0.0134,1.48756547270237,2.9430078953035,0.0365454545454545
Inh_L1_VIP_PRSS8,Inh_L1_VIP_PRSS8,2,0.015,1.97828819785354,3.71123049407645,0.0385
Inh_L1_PAX6_GRIP2,Inh_L1_PAX6_GRIP2,2,0.015,2.0131889056358,3.51778806077555,0.0385
Exc_L6_FEZF2_KRT17,Exc_L6_FEZF2_KRT17,2,0.0152,1.5820734156009,3.1750775778736,0.0385
Inh_L1_6_VIP_RCN1,Inh_L1_6_VIP_RCN1,2,0.0154,1.80056425455316,3.11906889461013,0.0385
Inh_L3_6_VIP_KCTD13,Inh_L3_6_VIP_KCTD13,2,0.0167,1.77994373973046,3.11239365905201,0.039
Inh_L1_5_VIP_KCNJ2,Inh_L1_5_VIP_KCNJ2,2,0.0168,1.66603276720118,3.06640703961883,0.039
Inh_L4_6_SST_MTHFD2P6,Inh_L4_6_SST_MTHFD2P6,2,0.0169,1.88311747120102,4.52794507651254,0.039
Exc_L3_5_THEMIS_UBE2F,Exc_L3_5_THEMIS_UBE2F,2,0.0169,1.63540209588147,2.88969253376318,0.039
Inh_L5_6_SST_ISOC1,Inh_L5_6_SST_ISOC1,2,0.0175,1.8575961339006,3.30613904387923,0.0390545454545455
Exc_L3_5_THEMIS_ELOF1,Exc_L3_5_THEMIS_ELOF1,2,0.0178,1.61019024733377,2.91186932245797,0.0390545454545455
Inh_L1_4_VIP_CHRNA2,Inh_L1_4_VIP_CHRNA2,2,0.0179,1.85140380767457,3.01187766258277,0.0390545454545455
Exc_L4_RORB_CACNG5,Exc_L4_RORB_CACNG5,2,0.0194,1.90400653997586,3.53304254799769,0.0415714285714286
Inh_L4_5_PVALB_TRIM67,Inh_L4_5_PVALB_TRIM67,2,0.0201,2.13623540069788,3.49767579695682,0.0423157894736842
Inh_L1_2_PVALB_TAC1,Inh_L1_2_PVALB_TAC1,2,0.0216,1.71494888321217,2.62097295013358,0.0444375
Inh_L1_2_VIP_PPAPDC1A,Inh_L1_2_VIP_PPAPDC1A,2,0.0222,1.88536176421417,2.98090117740624,0.0444375
Exc_L3_5_RORB_HSPB3,Exc_L3_5_RORB_HSPB3,2,0.0229,1.49946407040036,2.21297689852275,0.0444375
Exc_L6_FEZF2_TBC1D26,Exc_L6_FEZF2_TBC1D26,2,0.0231,1.57483100163466,2.27517503204122,0.0444375
Inh_L2_4_VIP_LGI2,Inh_L2_4_VIP_LGI2,2,0.0232,1.66503032831572,2.53873360629394,0.0444375
Inh_L1_3_VIP_GGH,Inh_L1_3_VIP_GGH,2,0.0237,1.96840445932007,3.35761446666299,0.0444375
Exc_L6_THEMIS_C6orf48,Exc_L6_THEMIS_C6orf48,2,0.0237,1.86419401524175,2.8911339077481,0.0444375
Inh_L1_VIP_TNFAIP8L3,Inh_L1_VIP_TNFAIP8L3,2,0.0253,1.59181852638718,2.42576467207422,0.0467076923076923
Inh_L1_3_PAX6_NABP1,Inh_L1_3_PAX6_NABP1,2,0.026,1.79225290092522,2.72680744539894,0.0472727272727273
Exc_L5_6_RORB_LINC00320,Exc_L5_6_RORB_LINC00320,2,0.0275,1.38624073473597,2.09373221909502,0.0487058823529412
Inh_L1_3_VIP_ACHE,Inh_L1_3_VIP_ACHE,2,0.0276,1.63798527208136,2.54376565005764,0.0487058823529412
Inh_L3_6_PVALB_MFI2,Inh_L3_6_PVALB_MFI2,2,0.0304,1.78520719903842,2.76844786855278,0.0522162162162162
Exc_L3_LINC00507_PSRC1,Exc_L3_LINC00507_PSRC1,2,0.0309,1.41916577904733,1.91395933204204,0.0522162162162162
Inh_L6_LHX6_GLP1R,Inh_L6_LHX6_GLP1R,2,0.0315,1.54556068473782,2.23144550174436,0.0522162162162162
Exc_L6_FEZF2_CPZ,Exc_L6_FEZF2_CPZ,2,0.0319,1.35808451132432,1.36788697046351,0.0522162162162162
Inh_L5_6_SST_TH,Inh_L5_6_SST_TH,2,0.0321,1.62027801977551,2.43791330055434,0.0522162162162162
Exc_L6_FEZF2_ETV4,Exc_L6_FEZF2_ETV4,2,0.0322,1.42605148434753,1.92277517658716,0.0522162162162162
Inh_L1_3_VIP_CCDC184,Inh_L1_3_VIP_CCDC184,2,0.0337,1.79444322108207,2.47570248472085,0.05392
Exc_L6_FEZF2_TBCC,Exc_L6_FEZF2_TBCC,2,0.0345,1.69188856589135,2.36101052554214,0.0539220779220779
