,CellType,annotLevel,p,fold_change,sd_from_mean,q
Exc_L5_6_FEZF2_RSAD2,Exc_L5_6_FEZF2_RSAD2,2,0.0634,1.32685325966238,1.40826204492773,0.0905714285714286
Inh_L5_6_SST_KLHL14,Inh_L5_6_SST_KLHL14,2,0.0651,1.36985658998928,1.52709521392148,0.0919058823529412
Exc_L6_FEZF2_TBC1D26,Exc_L6_FEZF2_TBC1D26,2,0.0666,1.23725037548169,1.28966549476965,0.0929302325581395
Inh_L1_VIP_SOX11,Inh_L1_VIP_SOX11,2,0.071,1.28924918009211,1.26125718159017,0.0979310344827586
Exc_L5_6_THEMIS_THTPA,Exc_L5_6_THEMIS_THTPA,2,0.0758,1.29891663975164,1.33291549828453,0.103363636363636
Inh_L6_LHX6_GLP1R,Inh_L6_LHX6_GLP1R,2,0.0769,1.25443746035519,1.18183304983369,0.103685393258427
Inh_L5_6_SST_TH,Inh_L5_6_SST_TH,2,0.0815,1.27248451543638,1.02893154915668,0.108666666666667
Exc_L5_6_FEZF2_MYBPHL,Exc_L5_6_FEZF2_MYBPHL,2,0.0856,1.28983466456877,1.33283581302808,0.111870967741935
Inh_L2_4_VIP_DSEL,Inh_L2_4_VIP_DSEL,2,0.086,1.30702064958904,1.159303461363,0.111870967741935
Exc_L6_FEZF2_SLITRK6,Exc_L6_FEZF2_SLITRK6,2,0.0867,1.20489517929695,0.801812013934878,0.111870967741935
Inh_L1_2_PVALB_TAC1,Inh_L1_2_PVALB_TAC1,2,0.0893,1.28748819691315,1.07450115667505,0.114
Exc_L5_FEZF2_DYRK2,Exc_L5_FEZF2_DYRK2,2,0.0921,1.29080384724152,1.34272325561649,0.115051546391753
Inh_L1_2_VIP_PPAPDC1A,Inh_L1_2_VIP_PPAPDC1A,2,0.0928,1.29060880795581,1.11137492861783,0.115051546391753
Exc_L6_FEZF2_P4HA3,Exc_L6_FEZF2_P4HA3,2,0.093,1.28056702980572,1.11845455854969,0.115051546391753
Inh_L1_VIP_TNFAIP8L3,Inh_L1_VIP_TNFAIP8L3,2,0.0976,1.25552859759564,1.14606961510057,0.11830303030303
Exc_L5_FEZF2_MORN2,Exc_L5_FEZF2_MORN2,2,0.0976,1.21178124078793,0.735274247918628,0.11830303030303
Inh_L1_2_PAX6_SCGN,Inh_L1_2_PAX6_SCGN,2,0.1007,1.24158817619561,0.863151557887456,0.12084
Inh_L1_6_VIP_PENK,Inh_L1_6_VIP_PENK,2,0.1098,1.2680298092587,1.04751659983304,0.130455445544554
Exc_L6_FEZF2_TBCC,Exc_L6_FEZF2_TBCC,2,0.116,1.19899841457865,0.834589852754965,0.136470588235294
Exc_L5_6_FEZF2_CYP26B1,Exc_L5_6_FEZF2_CYP26B1,2,0.1194,1.24745713999749,1.04760398890792,0.139106796116505
Exc_L3_THEMIS_PLA2G7,Exc_L3_THEMIS_PLA2G7,2,0.131,1.17117513481916,0.707578996492821,0.151153846153846
Inh_L1_ADARB2_DISP2,Inh_L1_ADARB2_DISP2,2,0.1346,1.23012276019238,0.930071679138292,0.153828571428571
Inh_L6_SST_NPY,Inh_L6_SST_NPY,2,0.165,1.17195919811695,0.575517039290911,0.186792452830189
Exc_L5_6_FEZF2_CABP7,Exc_L5_6_FEZF2_CABP7,2,0.1959,1.12452169773845,0.440803566972999,0.219700934579439
Exc_L3_5_FEZF2_DCN,Exc_L3_5_FEZF2_DCN,2,0.213,1.10404949264071,0.304645838577996,0.234715596330275
OPC_L1_6_MYT1,OPC_L1_6_MYT1,2,0.2132,1.15301949435444,0.553620284887842,0.234715596330275
Peri_L1_6_MUSTN1,Peri_L1_6_MUSTN1,2,0.2213,1.2667314950647,0.657792343715622,0.241418181818182
Exc_L5_FEZF2_SCN7A,Exc_L5_FEZF2_SCN7A,2,0.2567,1.05112172895395,0.185327752032577,0.277513513513513
Oligo_L4_6_OPALIN,Oligo_L4_6_OPALIN,2,0.2785,1.1330167744586,0.446765083239472,0.298392857142857
Astro_L1_FGFR3_MT1G,Astro_L1_FGFR3_MT1G,2,0.4106,1.02083826170585,0.0767190675124391,0.436035398230089
Astro_L1_FGFR3_FOS,Astro_L1_FGFR3_FOS,2,0.4539,0.98732087374401,-0.0419059607033988,0.477789473684211
Exc_L3_5_FEZF2_ONECUT1,Exc_L3_5_FEZF2_ONECUT1,2,0.4721,0.938839630233856,-0.183330870391771,0.492626086956522
Astro_L1_6_FGFR3_ETNPPL,Astro_L1_6_FGFR3_ETNPPL,2,0.5291,0.951296044211114,-0.209307802128505,0.547344827586207
Micro_L1_6_C1QC,Micro_L1_6_C1QC,2,0.5433,0.909760147691549,-0.227139815578395,0.557230769230769
VLMC_L1_3_CYP1B1,VLMC_L1_3_CYP1B1,2,0.5736,0.849027408907861,-0.354699472802337,0.583322033898305
Oligo_L4_6_MOBP_COL18A1,Oligo_L4_6_MOBP_COL18A1,2,0.6328,0.873921524515127,-0.466049328125871,0.638117647058824
Endo_L2_5_CLDN5,Endo_L2_5_CLDN5,2,0.7074,0.720622700347235,-0.668240490620569,0.7074
